"PERMNO","Company Name","Ticker","SP500 Start","SP500 End"
"10104","ORACLE CORP","ORCL","Aug. 3, 1989","Dec. 31, 2024"
"10107","MICROSOFT CORP","MSFT","June 7, 1994","Dec. 31, 2024"
"10138","T ROWE PRICE GROUP INC","TROW","Oct. 13, 1999","Dec. 31, 2024"
"10145","HONEYWELL INTERNATIONAL INC","HON","Dec. 31, 1925","Dec. 31, 2024"
"10147","E M C CORP MA","EMC","March 28, 1996","Sept. 7, 2016"
"10299","LINEAR TECHNOLOGY CORP","LLTC","April 3, 2000","March 10, 2017"
"10516","ARCHER DANIELS MIDLAND CO","ADM","July 30, 1981","Dec. 31, 2024"
"10696","FISERV INC","FISV","April 2, 2001","Dec. 31, 2024"
"10909","CERNER CORP","CERN","April 30, 2010","June 7, 2022"
"11308","COCA COLA CO","KO","March 1, 1957","Dec. 31, 2024"
"11404","CONSOLIDATED EDISON INC","ED","Dec. 31, 1925","Dec. 31, 2024"
"11552","CELGENE CORP","CELG","Nov. 6, 2006","Nov. 20, 2019"
"11600","DENTSPLY INTERNATIONAL INC NEW","XRAY","Nov. 14, 2008","April 2, 2024"
"11618","FASTENAL CO","FAST","Sept. 15, 2008","Dec. 31, 2024"
"11674","D T E ENERGY CO","DTE","Dec. 31, 1925","Dec. 31, 2024"
"11703","DU PONT E I DE NEMOURS & CO","DD","March 1, 1957","Aug. 31, 2017"
"11762","EATON CORP PLC","ETN","March 1, 1957","Dec. 31, 2024"
"11850","EXXON MOBIL CORP","XOM","Dec. 31, 1925","Dec. 31, 2024"
"11955","WASTE MANAGEMENT INC DEL","WM","July 17, 1998","Dec. 31, 2024"
"12052","GENERAL DYNAMICS CORP","GD","March 1, 1957","Dec. 31, 2024"
"12060","GENERAL ELECTRIC CO","GE","March 1, 1957","Dec. 31, 2024"
"12062","LABORATORY CORP AMERICA HLDGS","LH","Nov. 1, 2004","Dec. 31, 2024"
"12073","PEOPLES UNITED FINANCIAL INC","PBCT","Nov. 13, 2008","April 1, 2022"
"12345","LYONDELLBASELL INDUSTRIES N V","LYB","Sept. 5, 2012","Dec. 31, 2024"
"12369","GENERAL MOTORS CO","GM","June 7, 2013","Dec. 31, 2024"
"12431","INGERSOLL RAND PLC","IR","Nov. 17, 2010","Dec. 31, 2024"
"12490","INTERNATIONAL BUSINESS MACHS COR","IBM","March 1, 1957","Dec. 31, 2024"
"12542","NIELSEN N V","NLSN","July 9, 2013","Oct. 11, 2022"
"12558","KINDER MORGAN INC","KMI","May 25, 2012","Dec. 31, 2024"
"12650","KANSAS CITY SOUTHERN","KSU","May 24, 2013","Dec. 13, 2021"
"12872","MARATHON PETROLEUM CORP","MPC","July 1, 2011","Dec. 31, 2024"
"13035","XYLEM INC","XYL","Nov. 1, 2011","Dec. 31, 2024"
"13103","DELPHI AUTOMOTIVE PLC","DLPH","Dec. 24, 2012","Dec. 31, 2024"
"13142","MICHAEL KORS HOLDINGS LTD","KORS","Nov. 13, 2013","May 11, 2020"
"13168","TRIPADVISOR INC","TRIP","Dec. 21, 2011","Dec. 20, 2019"
"13356","PHILLIPS 66","PSX","May 1, 2012","Dec. 31, 2024"
"13407","FACEBOOK INC","FB","Dec. 23, 2013","Dec. 31, 2024"
"13567","A D T CORP","ADT","Oct. 1, 2012","May 2, 2016"
"13586","PENTAIR PLC","PNR","Oct. 1, 2012","Dec. 31, 2024"
"13598","KRAFT FOODS GROUP INC","KRFT","Oct. 2, 2012","July 2, 2015"
"13688","P G & E CORP","PCG","Dec. 31, 1925","Jan. 17, 2019"
"13721","ABBVIE INC","ABBV","Jan. 2, 2013","Dec. 31, 2024"
"13788","ZOETIS INC","ZTS","June 24, 2013","Dec. 31, 2024"
"13856","PEPSICO INC","PEP","March 1, 1957","Dec. 31, 2024"
"13901","ALTRIA GROUP INC","MO","March 1, 1957","Dec. 31, 2024"
"13928","CONOCOPHILLIPS","COP","March 1, 1957","Dec. 31, 2024"
"13936","P V H CORP","PVH","Feb. 14, 2013","Sept. 16, 2022"
"13963","NEWS CORP NEW","NWSA","July 1, 2013","Dec. 31, 2024"
"14008","AMGEN INC","AMGN","Jan. 2, 1992","Dec. 31, 2024"
